split,accuracy,f1_macro,f1_weighted,auc_roc,auc_pr
validation,0.5345,0.43158905659352115,0.43158905659352115,0.6249049999999998,0.599693981144094
test,0.5756880733944955,0.5328715715344701,0.5354665110411383,0.6046350088406163,0.5918595708157375
