split,accuracy,f1_macro,f1_weighted,auc_roc,auc_pr
validation,0.6975,0.6948321463312646,0.6948321463312646,0.794897,0.7979013531166885
test,0.75,0.749840768522174,0.7499565732333202,0.8113580870590216,0.8219072248666764
