split,accuracy,f1_macro,f1_weighted,auc_roc,auc_pr
validation,0.7815,0.7814995083738938,0.7814995083738938,0.851884,0.8427361538555705
test,0.8096330275229358,0.8094074397880666,0.8092871263294698,0.8853719373579185,0.8887057627009706
