split,accuracy,f1_macro,f1_weighted,auc_roc,auc_pr
validation,0.586,0.5438438756082081,0.5438438756082081,0.627515,0.606043868659659
test,0.6169724770642202,0.6014668856048166,0.6029092662056914,0.6700555695882799,0.6658833591176432
